,site,date,stars,title,text,location
22,www.1password.com,2023-01-09T20:00:31.000Z,5,Great customer service,"Great customer service. Quick response, knowledgeable, provided alternatives, and ultimately solved the issue.  Will now focus on using the technology and the tools, but first experience with the company was great.",MX
23,www.1password.com,2023-01-07T22:42:53.000Z,4,"1password customer support is helpful, with delay","1password customer support is responsive and knowledgeable. Their answers are to the point, well written. THe only reason i gave them 4 instead of 5 stars is that it always takes 24 to 48 hours for a reply, so if you are in a bind (I was) they cannot take you out of it quickly.",CA
24,www.1password.com,2023-01-10T12:31:04.000Z,5,1Password was awesome,"1Password’s whole team I dealt with were knowledgeable and very able resolve the problem I had very quickly. Other IT customer support teams should take a leaf out of their book,",GB
25,www.1password.com,2023-01-07T12:23:14.000Z,5,Great customer service experience,"Great customer service experience. I needed to delete an old stale account and transfer licences to a new one, and the 1Password team we're super-helpful in guiding me through the process, and explaining the reasons for each step along the way. This included contacting and validating my ""old"" email address to prevent hijacking/takeover, so as a benefit I am now familiar and confident with their processes to protect my identity and privacy. The 1Password tech seems solid, and it's comforting to know that the support process is also solid, and is fronted by knowledgeable staff.",AU
26,www.1password.com,2023-01-13T20:15:19.000Z,2,The new browser addon is annoying,The new browser addon is annoying.  It takes up way to much space.  The old one was much better and less intrusive.,US
27,www.1password.com,2023-01-07T00:50:05.000Z,5,I'm happy with the help I've received…,I'm happy with the help I've received in setting up my 1Password individual account. I had assistance from Pierre and Darcy - thank you - and they were very nice and know what they are doing. I am almost 80 years old and have to often depend on the knowledge of young people who grew up chewing on computer cords!,US
28,www.1password.com,2023-01-09T20:48:07.000Z,5,Great customer support,"I had problems logging in to my account on the app and contacted suport for help, i got a reply much faster than i expected and they were very helpful, the issue was quickly and easily solved.",GB
29,www.1password.com,2023-01-10T00:18:53.000Z,5,Quick and painless,"I'm surprised that I didn't have to go back and forth a million times to get my problem resolved. Once your crew properly identified me, you all gave me my refund, and I went on with my day!",US
30,www.1password.com,2023-01-09T01:36:40.000Z,5,Team-Work in action.,"Had a question about modifying the 1password billing-cycle. The 1Password-Team handily managed the request, keeping me updated with options. And the eventual execution of the decision I selected.  Great Job, thanks.",CA
31,www.1password.com,2023-01-09T15:43:40.000Z,5,Great product and customer service,"Customer service is highly responsive and was very helpful. After the egregious breach of trust of LastPass, 1Password is a fantastic alternative and couldn’t be happier with the service.",US
32,www.1password.com,2023-01-05T19:00:10.000Z,5,Best Support Team Ever!,"I had made an error in setting up my account, creating a family instead of an individual acct. Support was fantastic, responding quickly and guiding me step-by-step to get everything working the way I wanted. I am one of many changing my Last Pass and grade that I have. 1Password is easy to organize and clean up duplicates. Again, support is the best I have experienced.",US
33,www.1password.com,2023-01-06T00:27:03.000Z,5,One of the Best Support Teams I have Experienced,"The support team members who handled my problem used a friendly tone in their emails. The message was consistent even if it was not the same person who replied to my many emails. The team was courteous, patient and the instructions were concise and not hard to follow.  The responses from the team were prompt. I felt like I was talking to someone I knew! Thanks Team.",NZ
34,www.1password.com,2023-01-06T13:27:52.000Z,5,double subscription,"I mistakenly had signed a double subscription. One for a .COM domain, the other for a EUROPEAN one. Therefore, I was billed twice although I only use one domain.  I asked for help and the problem was found instantly and I was refunded my second payment. Super. Thanx. / Dankeschön",DE
35,www.1password.com,2023-01-05T15:29:50.000Z,5,Smooth migration from LastPass,After 9 years with LastPass I couldn't ignore their security issues anymore and decided to switch to 1password. I wasn't looking forward to the transition as l compared both in February last year and still preferred LastPass back then but was very pleasantly surprised with their new product and improvements made over the year (especially in the UX department). Their customer support was also very accommodating and helped smooth out the transition. Recommended.,CZ
36,www.1password.com,2023-01-06T10:24:54.000Z,5,Simply great professionalism,"Simply great professionalism, accurate, fast answer with their support department. A free bug software does not exist, what makes the difference is on how do the supplier react when you are getting a problem or ask for some help in configuration.  They are simply amazing !",BE
37,www.1password.com,2023-01-07T01:02:01.000Z,5,Invoice enquiry,"While my support need was quite simple; a billing enquiry that I only needed to make because I didn’t update my new card details in time. Once I updated though, and maybe because I was overdue at that point, it wasn’t Immediately obvious that the current invoice was actually paid. The support result was timely (even on a Saturday!) and delivered in a professional manner by one of your champions, Zach. He informed me that the bill was indeed paid and that the invoice was generating. Great product, great experience and only necessary because I noobed it. Would give a sixth star.",AU
38,www.1password.com,2023-01-05T16:04:43.000Z,5,Great,"Zoe B. and Kristen B. were very responsive to my request for a discount, I switched to 1Password from LastPass. They responded to me quickly and not only addressed my inquiry, however also provided additional information and resource links. I appreciate my positive support experience as a new customer. Great job!",US
39,www.1password.com,2023-01-08T13:12:30.000Z,5,I got supported by Chris G,"I got supported by Chris G. Very glad for his assistance. Fast, accurate, very kind and helpful! It was great experience and I it was thanks to him! He definitely deserve a raise or at least a bonus!",BG
40,www.1password.com,2023-01-06T01:36:17.000Z,5,Quick Customer Support Response,"I recently submitted a billing question to 1Password, and was impressed by the quick response. I wanted to take advantage of a discount I missed when I signed up. Within minutes of my request, an agent resolved the issue. I couldn’t have asked for a faster response and resolution to my question.",US
41,www.1password.com,2023-01-08T15:53:06.000Z,5,Resigning Up,Had a few questions to help get my account back up and running and over the course of a few days multiple people helped me. The issues was resolved very quickly and everyone was super friendly,US
42,www.1password.com,2023-01-08T08:12:14.000Z,5,The 1Password support team has helped…,The 1Password support team has helped me solve the subscription problem which bothers me a lot. They responded to my email very quickly and provided assistance so patiently. Thank you so much.,US
43,www.1password.com,2023-01-13T18:59:31.000Z,5,Super Fast Response,Super Fast Response and sorted my problem with the first email. Got me out of a massive hole - thanks!,GB
44,www.1password.com,2023-01-06T18:41:26.000Z,5,Zahra made it sparkle.,"Zahra replied in a timely manner with the most perfect and flawless of communications every expressed in the age of humanity. Stormy clouds outside my house cleared, birds sang, and sparkles twinkled in the air. My day was perfect after that.",US
45,www.1password.com,2023-01-04T21:32:20.000Z,5,Great customer service and support,"Reached out with an issue that was entirely caused by my own actions, looking for support on an account that was deleted. Received a quick response, and was able to have my access restored within a few days. Every member of the support team was extremely helpful and friendly, and even restored a subscription with additional months added as a bonus.",CA
46,www.1password.com,2023-01-08T12:00:12.000Z,5,Unexpectedly comprehensive advice,"Unexpectedly comprehensive advice, going beyond the questions I'd asked.  And not only that but they gave a huge subscription discount which I had not noticed I was entitled to.  Impressed.",AU
47,www.1password.com,2023-01-06T19:21:35.000Z,4,Always a learning curve,"There was always a learning curve with 1Password, and it’s always been cumbersome to use on a mobile device. Still, it’s continued to be the most recommended app for security. The app has been changing lately, requiring more learning to figure out what’s up. Some features are good, like allowing one to click on login information when that information is stored in 1Password. Others are annoying, like aggressively asking if I want to save information even if the site has nothing to do with a login and sometimes, in doing so, putting up a banner that hides information I need to see. So it seems to be (and I hope) a work in progress.",US
48,www.1password.com,2023-01-06T15:22:52.000Z,5,Excellent responsiveness and customer focus,I recently sent an email inquiry to address an account access problem I was having. The responsiveness of the support team was much appreciated. After a couple of clarifying questions they immediately provided me the answers I needed.,GB
49,www.1password.com,2023-01-06T20:04:05.000Z,5,IPassword customer support,"We had a self-inflicted problem with my sister-in-law's account. I contacted 1Password support on her behalf late on New Year's Eve. Quite understandably, we promptly received an automated reply which was informative and helpful but did not refer to our specific problem. With no further prompting, Darcy, from 1PW support, made contact immediately after the holiday period saying he would contact my sister-in-law direct. He did so and dealt with the issue promptly, efficiently and courteously. My sister-in-law's account is now closed and we will integrate her within our 'Families' account. Excellent and friendly customer support. Much appreciated.",GB
50,www.1password.com,2023-01-06T00:37:24.000Z,5,Had an problem with a discount code,Had an problem with a discount code on subscription not applying and they were quick to reply my email and resolve the issue. App seems to work well so far. Switching from last pass due to their data breach handling and some browser integration issues with Opera.,US
51,www.1password.com,2023-01-13T01:49:21.000Z,5,Great communication and for different…,Great communication and for different team members to work case and timely was great.  Great support experience!,US
52,www.1password.com,2023-01-04T08:21:07.000Z,5,Transition to 1Password Help,"I'm new to 1Password, as well as to your web browser vs app. When I had questions, the team always responded on the same day, with the right answers! Transitioning all of my passwords for 15 years, and upgrading them, is painful at best. Your support was highly appreciated.",AU
53,www.1password.com,2023-01-09T01:16:49.000Z,5,Subscription Help,"Had trouble activating a subscription discount and the customer service folks were very helpful, via email, in getting the issue resolved.  Happy I switched to 1Password.",US
54,www.1password.com,2023-01-04T19:41:00.000Z,5,Ex-LastPass user seeking for alternative,"Having used LastPass for nine years, I decided it was time to use a different password manager. After all security issues with LastPass, I simply didn’t trust them anymore. Transition to 1Password went smoothly and the interface is state of the art. Good decision!",NL
55,www.1password.com,2023-01-05T14:39:45.000Z,5,Excellent support,"Excellent support. My case was unusual, requiring some research. The support I received was prompt and the fix worked!  It was all by email, and worked fine. The technicians were very polite and professional. I’m quite satisfied.",US
56,www.1password.com,2023-01-07T00:30:15.000Z,5,Very responsive,"Very responsive. Support staff knew the issue and provided clear, easy directions to deactivate my apple subscription and convert from individual to a family account. I dumped Last Pass and am loving 1P",US
57,www.1password.com,2023-01-13T14:50:31.000Z,5,Very good support to help me transfer…,"Very good support to help me transfer to a family plan, from an Apple trial subscription.",US
58,www.1password.com,2023-01-02T22:05:06.000Z,5,Top notch customer service from Laura and other members of the support team,Laura and other members of the support team were able to answer my questions quickly and effectively. They also provided me some support as a new customer which definitely made me feel some immediate loyalty. And they always checked in to see if there was more they could help with. Top notch customer service!! Thanks,CA
59,www.1password.com,2023-01-08T14:01:55.000Z,5,Great customer service and great…,Great customer service and great password manger. Migrate from LastPass and no regrets. More security options and password vault is actually fully encrypted.,US
60,www.1password.com,2023-01-11T01:15:46.000Z,5,The whole team that helped me was…,"The whole team that helped me was awesome!! Knowledgeable, easy to work with, clear communication. Just a great experience!",US
61,www.1password.com,2023-01-02T17:25:54.000Z,2,Avoid upgrading to 1Password 8,"The latest version of the Chrome extension is worse than previous versions. It often doesn't appear, breaks the browsers autofill for addresses and credit cards, and always offers to save a bunch of unnecessary info when creating a new account. If you’re on 1Password 7, stay there!",US
62,www.1password.com,2023-01-04T23:36:25.000Z,5,Very helpful and responsive team,"Very helpful and responsive team. When I've encountered a technical issue, they've been very responsive in either helping me resolve it, or implementing a fix. 1password is also well ahead of the game with it's service.",GB
63,www.1password.com,2023-01-02T14:19:10.000Z,5,Fantastic Product,"I used to use LastPass which was becoming more and more unusable and clunky. Very few sites would autofill at all and I was not getting any more benefit other than a secure vault. But then Lastpass got hacked and I moved to 1Password. I wish I had done it before! 1Password is slick, works perfectly on all of my platforms and seamlessly autofills. An added layer of security is that your data is encrypted with a key that is only stored on your devices, 1password has no copy of it, so even if they are breached, your data is safe. The product is great and I totally recommend it.",GB
64,www.1password.com,2023-01-13T23:11:06.000Z,5,This password manager is highly recommended.,"It's easy to understand why 1Password is so widely praised as the best password manager out there. I've been with 1Password for years, in-fact after nine years of using it, I can personally attest to its reliability and convenience. For me personally, this tool has been amazing. I have passwords for dozens of online accounts, each with different lengths and characters, (most are over 25 characters with numbers and symbols thrown in) and 1Password makes managing them a breeze. With a single click, it fills in forms and remembers my credentials, so I don't have to. It also offers top-notch security features, such as regional lockout and two-factor authentication, so I can rest assured that my data is safe. On top of that, 1Password is incredibly user-friendly. I can audit my credentials easily and weed out duplicate login info and remove sites I don't use. I can quickly generate strong passwords and store them in an encrypted database. Plus, the intuitive setup makes it easy to get started. In short, 1Password is an indispensable tool for anyone who wants to keep their online accounts safe. Whether you're setting up your accounts for the first time or have dozens of logins to manage, 1Password is the perfect solution. No more stress and worry about security, just get it and forget about it. I highly recommend 1Password and will continue to be a loyal customer for the 10th year and beyond.",GB
65,www.1password.com,2022-12-31T22:20:54.000Z,1,No customer support and broken app,"No customer support and a very much broken app  1, password 8 for Android flat out doesn't work it doesn't support autofill and it's doesn't sync with other devices however even though I have opened a ticket with 1 password support they won't respond I have made more than 1 attempt to fallow up however they continue to refuse to respond to when I post publicly they tell me to open a ticket however I have an open ticket they refuse to respond to",CA
66,www.1password.com,2023-01-01T22:25:02.000Z,3,Great when it works BUT . . .,"When it works, it’s great, but there’s a lot not to love about 1Password, and it’s hard to get support except in small bites separated by the length of their shifts (e.g. every 12-15 hours or so). It’s also been impossible for me to figure out how to get it to autofill with Android phone and tablet. (Yes there are steps to follow but they haven’t made any difference.) And now somehow the setting that has helped me avoid having to login every time I want a password filled in has died, and I dread the 2-3 day slog I’ll have to go through to fix it.",US
67,www.1password.com,2023-01-07T23:00:15.000Z,5,Timely and helpful service,"They got back to me in just a few hours with the correct solution, then followed up to make sure my issue was resolved. I was very pleased with the service.",US
68,www.1password.com,2023-01-02T10:05:19.000Z,5,rapid response,"rapid response, calm professional approach, excellent clear explanations and instructions from all the Support team members I interacted with, and together we solved my problem AND a generous three-year free subscription — happy chappie, thank you!",US
69,www.1password.com,2022-12-31T16:41:45.000Z,5,The 1Password set up challenges,"1Password can be confusing unless you're up to following the instructions in every regard, which can be frustrating for some of us.  I've found that if you articulate your issue to the support staff, they will promptly contact you and follow up with considerable patience to help overcome your challenges.",US
70,www.1password.com,2022-12-31T02:35:51.000Z,5,Working with the 1Password team on an…,"Working with the 1Password team on an issue was a true pleasure. There were several who helped me and each one was kind, respectful, and quickly fixed the issue. Not only were they quick and respectful, they had the knowledge to help and the ability to explain clearly so I understood what I could do on my end. Actually one of the best experiences I have ever had with any customer service department.  Truly!",US
71,www.1password.com,2023-01-09T13:33:43.000Z,5,Quick and easy,Quick and easy.  I stated my problem and they were able to resolve it without a lot of back and fourth.  Top quality service,US
72,www.1password.com,2022-12-30T21:50:50.000Z,5,Top level customer service.,"Using 1Password over the years I have needed Customer Service at various times, from the simple to the complicated, and customer service has always come through to guide me toward the solution.  Late night on a Sunday in a panic, Customer Service was there, Holiday time at the end of the year, Customer Service was there.  Top notch.  They have a customer for life.",US
73,www.1password.com,2023-01-11T19:17:12.000Z,5,Great customer service.,Great customer service with a quick responce.   Very helpful and I got my issure resolved quickly.,US
74,www.1password.com,2023-01-05T21:59:27.000Z,5,Quickly Issued my Refund,They were able to quickly issue a pro-rated refund of my family plan after I attached my account to my business account only 4 days after I had paid for my family plan account.,US
75,www.1password.com,2022-12-30T18:26:24.000Z,5,Easy and fast support when switching to 1Password families,"I had issues switching from the 1Password Individual plan to the Families plan. I reached out to the 1Password support team, and after a few back-and-forth mails, my issue was addressed, and the switch was complete. I am a long time user of the 1Password and will be onboarding my family members to protect their passwords.",US
76,www.1password.com,2023-01-04T02:49:52.000Z,5,Thanks for solving my payment query…,"Thanks for solving my payment query quickly, I should have reached out to you earlier. India regulations have made it harder to pay by card online. Your suggestion to pay via App Store was the fastest remedy.",IN
77,www.1password.com,2023-01-13T03:25:49.000Z,5,Amazing support,"Amazing support! Quick, professional and friendly responses - and excellent result!",US
78,www.1password.com,2022-12-29T05:45:58.000Z,5,I was having trouble using 1Password with Firefox,"I was having trouble using 1Password on my laptop with Firefox. I contacted customer support and they quickly got back to me. Paul sent me a detailed response with several remedies to try. It was so carefully thought out I was able to fix my issue without contacting them further. From someone who’s not the most tech savvy, that’s saying something. Very professional service; very helpful advice!",US
79,www.1password.com,2023-01-03T16:28:00.000Z,5,Very fast response time ...,"Very fast response time on my initial inquiry AND on the subsequent clarifications. Clear and very friendly communication, with a quick and easy solution to my problem. Very happy switching to 1Password.",DE
80,www.1password.com,2022-12-29T18:30:18.000Z,5,Y’all have been great,"Y’all have been great. This is top notch customer service, really. I manage a team of medical device field service engineers over half the US after being one myself for about 20 years. I have been on the inside of customer service and technical support for decades. I say that simply to give perspective that I know what I’m talking about when comparing good and bad customer experience. This has been a pleasure and you’ve won back a customer.",US
81,www.1password.com,2022-12-29T08:13:33.000Z,5,Excellent and fast support service,After upgrading from 1Password 7 to 1Password 8 I realized that my 1Password cloud account was created in 1Password.com. For me it was important to have my data hosted in EU. The support staff was responding very fast and personal shortly after Christmas public holidays on transferring my 3 year 50% discount without any discussion to my new 1Password.eu account. Flawless and very friendly experience. If you have a problem just get in touch with the support team.,DE
82,www.1password.com,2022-12-30T15:29:39.000Z,5,Talked me off the cliff,"I recently decided to move up to ver 8 from 6.8.9 but managed to completely pooch the process by creating multiple accounts using multiple email addresses. I had created such a mess that I started to think there was no way out and started looking at other password managers out there. Catherine F. in 1P Support managed to very patiently and persistently talk me off the cliff and worked with me all the way to the end to get me up and running on ver 8. I can’t say enough how happy I am with the support at 1P. Sincerely a very happy camper, Dana H.",US
83,www.1password.com,2023-01-10T20:28:31.000Z,5,Reliable and responsive support on a…,Reliable and responsive support on a billing question. Good followup and everyone was on the same page.,US
84,www.1password.com,2023-01-05T21:29:16.000Z,5,Thank you for your amazing help!,Everyone was really helpful and answered my questions fully and really quickly (even though it was near the holidays). I am really grateful to everyone's kind help.,US
85,www.1password.com,2022-12-31T17:52:17.000Z,5,Quick and kind help,"Quick response and very clear and easy next steps on how to downgrade my account. I felt like I was talking to a human who really cared about helping me fix my issue, and they went above and beyond to get me credited for the money I’d already spent.",US
86,www.1password.com,2022-12-31T23:20:21.000Z,5,1Password has good support by email,"When I was setting up my new 1Password account, the email support person quickly let me know that I had created a duplicate account by mistake, and was able to remove it for me.  So far, 1Password support seems to be very responsive and helpful.",CA
87,www.1password.com,2022-12-30T17:53:51.000Z,5,1Password for Good!,"The representatives at 1Password were able to help me keep my account active and keep all of my accounts and documents safe. After reaching out with an attempt to sign up for 1Password for Democracy, they explained the requirements and offered an alternative option.",US
88,www.1password.com,2022-12-28T22:38:07.000Z,5,It was an awesome experience to work…,"It was an awesome experience to work with 1password support and especially with your agents Elijah, Rob, Kaley, and Michelle! They understand the problem from the beginning clearly and helped me in the shortest period of time with excellent answers to my problem. Thank you for your wonderful service! Best regards, Dmytro",UA
89,www.1password.com,2022-12-30T08:38:06.000Z,3,I am a registered client and am trying…,I am a registered client and am trying to move my account from Android to IOS after being hacked on Google and facebook. But the app keeps trying to give the free startup and I cannot sign in to iOS or access my subscriptions  Regards Laurence Welsh,AU
90,www.1password.com,2023-01-02T00:58:54.000Z,5,"1Password, excellent people and manager","1Password team is really helpful from the very beggining, even before made an account. The manager itself has so many capabilities and its certainly very friendly for the average user. Keep up the good work!",GR
91,www.1password.com,2022-12-29T01:34:34.000Z,3,I always download updates; too complicated,"I always download updates, esp. for newest security improvements.  So when 1Password v.8 came, I downloaded it.  As often happens with updates, some things stopped working.  Like the open and fill.  I contacted service via email. It took 6 exchanges over 7 days to fix it.  Lots of computer lingo went way over my head.  The last one simply said, download 1Password for Safari, gave me the link.  That did it.  Glad to have it fixed, but took too long.   And do not approach the general public with computer lingo or expected expertise.",US
92,www.1password.com,2022-12-28T02:43:41.000Z,5,"Friendly, responsive customer service","As a new 1Password user, I had a question about billing and sent off an email to customer support on Boxing Day. It wasn't urgent and it was still the holidays so I wasn't expecting the response that came later that day! Question answered and they made sure I was set up and ready to go. Thank you 1Password support.",CA
93,www.1password.com,2023-01-13T00:31:17.000Z,5,Support was attentive and responsive…,Support was attentive and responsive and knew the exact answer I needed!,US
94,www.1password.com,2023-01-05T22:36:49.000Z,5,Awesome response time and support,"The response time was quick and the support team was very kind. They always looked for the best way find a solution, and for helping of course!",US
95,www.1password.com,2023-01-05T15:16:00.000Z,5,Very helpful,Very helpful with moving over to 1Password from another company that has had issues. Helpdesk have shown the process through. Very impressed,GB
96,www.1password.com,2023-01-04T14:59:19.000Z,5,Friendly and responsive customer support,"Friendly and responsive customer support. Helped me out with a new user discount, that I have not applied correctly while signing up for the service.",DE
97,www.1password.com,2023-01-03T00:37:07.000Z,5,Painless Troubleshooting.,"Troubleshooting advice was very complete and efficient. Several options were offered depending on my preference. Everyone involved was courteous, friendly and professional.",US
98,www.1password.com,2023-01-12T01:30:35.000Z,5,Prompt and fast response,Prompt response that answered my question thoroughly and completely. Kudos.,CA
99,www.1password.com,2022-12-26T16:16:29.000Z,1,Power users should avoid - your favorite features are temporary and will be removed next.,"I don’t mind the change to Electron. I don’t mind the change to a subscription model - I actually appreciate this if it allows companies to fund further development without accepting VC dollars and chasing infinite growth. I do mind that with every major release there is a retraction of features. Of the ability to segment credentials into individual vaults and select which vaults are active. I do mind the constant spurring of longtime users and power users. ""Collections"" and having to fundamentally re-create my 8-year-plus-old vault organization is not an equitable feature.",US
100,www.1password.com,2022-12-24T21:41:21.000Z,5,Issues with passwords cause…,"Issues with passwords cause overwhelming stress.  The team at 1Password did an outstanding job of understanding my unique circumstances and then suggested a course of action to resolve it.  Better yet, the provided step by step suggestions and where there to help.  This approach put me at ease and gave me confidence that the solution would work.  Simple, clear instructions with answers to every question.  That is how you eliminate stress on password issues.  Way to go 1Password team!",US
101,www.1password.com,2023-01-08T20:50:09.000Z,5,Great customer support,Emailed customer support with an issue I was having and they quickly resolved it. Very good support.,US
102,www.1password.com,2022-12-29T01:27:16.000Z,5,Outstanding tech support from 1Password,It is not often that I deal with excellent customer service these days but I was amazed and delighted at the response from the support team at 1Password when I had an installation problem.  Not only did I receive a response within 24 hours (and this was during the Christmas holiday season) but the response directly addressed my issue and provided a number of helpful suggestions. There was no copy and paste of standard wording or simply links to preformatted text. The support technician (Pierre) wrote a personal reponse and invited me to contact them again if I needed further help. Outstanding service!  Thank you Pierre and 1Password!  I am very happy to commend your service.,AU
103,www.1password.com,2022-12-28T19:07:29.000Z,5,Looks like an overall very solid team…,Looks like an overall very solid team effort as multiple support people seamlessly helped to get my account converted from in-app paid to being billed through my Eero plus membership.  Kudos to the 1Password support team!,US
104,www.1password.com,2023-01-06T01:30:51.000Z,5,Highly recommend them!,"The staff are extremely helpful and polite. I have dealt with a number of customer support services, but nothing like 1Password.",AU
